timestep;x;y;z;w;p;r
7152;94.567139;74.567131;-204;-176;1;84
7156;94.888039;74.888046;-204;-176;1;84
7160;95.210609;75.210617;-204;-176;1;84
7164;95.534828;75.534836;-204;-176;1;84
7168;95.860733;75.860741;-204;-176;1;84
7172;96.188393;76.188408;-204;-176;1;84
7176;96.517746;76.517754;-204.000015;-176;1;84
7180;96.8489;76.848907;-204;-176;1;84
7184;97.181816;77.181824;-204;-176;1;84
7188;97.51651;77.51651;-204;-176;1;84
7192;97.853088;77.853088;-204;-176;1;84
7196;98.19146;78.191467;-204.000015;-176;1;84
7200;98.531769;78.531769;-204;-176;1;84
7204;98.873932;78.873932;-204;-176;1;84
7208;99.218018;79.218018;-204;-176;1;84
7212;99.564072;79.564072;-204;-176;1;84
7216;99.912086;79.912079;-204;-176;1;84
7220;100.2621;80.262093;-204;-176;1;84
7224;100.614113;80.614105;-204;-176;1;84
7228;100.968147;80.96814;-204;-176;1;84
7232;101.324318;81.324326;-204;-176;1;84
7236;101.682533;81.682541;-204;-176;1;84
7240;102.042877;82.042892;-204;-176;1;84
7244;102.405365;82.405365;-204;-176;1;84
7248;102.769997;82.769989;-204;-176;1;84
7252;103.136856;83.136864;-204;-176;1;84
7256;103.505898;83.50589;-204;-176;1;84
7260;103.877167;83.877167;-204;-176;1;84
7264;104.250778;84.250786;-204;-176;1;84
7268;104.626579;84.626595;-203.999985;-176;1;84
7272;105.004807;85.004822;-204;-176;1;84
7276;105.3853;85.385292;-204;-176;1;84
7280;105.76815;85.76815;-203.999985;-176;1;84
7284;106.153465;86.153473;-204;-176;1;84
7288;106.541138;86.541138;-204;-176;1;84
7292;106.931297;86.931297;-204;-176;1;84
7296;107.323868;87.323875;-204;-176;1;84
7300;107.718925;87.718925;-204;-176;1;84
7304;108.116562;88.116554;-204;-176;1;84
7308;108.51667;88.516678;-204;-176;1;84
7312;108.91938;88.91938;-204.000015;-176;1;84
7316;109.324631;89.324646;-203.999985;-176;1;84
7320;109.732491;89.732498;-204;-176;1;84
7324;110.143021;90.143044;-204;-176;1;84
7328;110.55616;90.556168;-204.000015;-176;1;84
7332;110.972023;90.972031;-204;-176;1;84
7336;111.390533;91.390526;-204;-176;1;84
7340;111.811745;91.811745;-204;-176;1;84
7344;112.23555;92.235542;-204;-176;1;84
7348;112.659798;92.65979;-204;-176;1;84
7352;113.084007;93.084023;-204;-176;1;84
7356;113.508331;93.508324;-204;-176;1;84
7360;113.932579;93.932571;-204;-176;1;84
7364;114.356834;94.35685;-204;-176;1;84
7368;114.781097;94.781113;-204;-176;1;84
7372;115.20536;95.20536;-204;-176;1;84
7376;115.629669;95.629662;-204;-176;1;84
7380;116.053879;96.053886;-204;-176;1;84
