timestep;x;y;z;w;p;r
4100;46.503098;-17.995867;-204;-176;1;84
4104;46.737751;-17.682999;-204;-176;1;84
4108;46.971241;-17.371677;-204;-176;1;84
4112;47.203575;-17.061905;-204;-176;1;84
4116;47.43475;-16.753664;-204;-176;1;84
4120;47.664856;-16.446857;-204;-176;1;84
4124;47.893841;-16.141546;-204;-176;1;84
4128;48.121765;-15.837646;-204;-176;1;84
4132;48.348602;-15.535196;-204;-176;1;84
4136;48.574402;-15.234133;-204;-176;1;84
4140;48.79921;-14.934388;-204;-176;1;84
4144;49.022968;-14.63604;-204;-176;1;84
4148;49.245766;-14.338975;-204;-176;1;84
4152;49.467583;-14.043223;-204;-176;1;84
4156;49.688419;-13.748768;-204;-176;1;84
4160;49.90836;-13.455518;-204;-176;1;84
4164;50.127331;-13.163558;-204;-176;1;84
4168;50.345409;-12.872787;-204;-176;1;84
4172;50.562626;-12.583161;-204;-176;1;84
4176;50.778927;-12.294759;-204;-176;1;84
4180;50.9944;-12.007463;-204;-176;1;84
4184;51.209003;-11.721329;-204;-176;1;84
4188;51.422779;-11.436286;-204;-176;1;84
4192;51.635765;-11.152306;-204;-176;1;84
4196;51.847927;-10.869425;-204;-176;1;84
4200;52.059322;-10.587567;-204;-176;1;84
4204;52.269936;-10.306746;-204;-176;1;84
4208;52.479774;-10.026967;-204;-176;1;84
4212;52.688915;-9.748109;-204;-176;1;84
4216;52.897305;-9.47026;-204;-176;1;84
4220;53.104992;-9.193338;-204;-176;1;84
4224;53.311958;-8.917386;-204;-176;1;84
4228;53.51825;-8.642335;-204;-176;1;84
4232;53.723885;-8.368155;-204;-176;1;84
4236;53.928841;-8.094873;-204;-176;1;84
4240;54.133163;-7.822453;-204;-176;1;84
4244;54.336838;-7.550881;-204;-176;1;84
4248;54.539898;-7.28014;-204;-176;1;84
4252;54.742378;-7.010167;-204;-176;1;84
4256;54.944233;-6.74102;-204;-176;1;84
4260;55.1455;-6.47267;-204;-176;1;84
4264;55.346237;-6.205018;-204;-176;1;84
4268;55.546387;-5.938151;-204;-176;1;84
4272;55.746006;-5.671989;-204;-176;1;84
4276;55.945084;-5.406552;-204;-176;1;84
4280;56.143646;-5.141805;-204;-176;1;84
4284;56.341709;-4.877722;-204;-176;1;84
4288;56.539272;-4.614312;-204;-176;1;84
4292;56.736355;-4.351526;-204;-176;1;84
4296;56.932941;-4.089412;-204;-176;1;84
4300;57.129082;-3.82789;-204;-176;1;84
4304;57.32478;-3.566963;-204;-176;1;84
4308;57.52002;-3.306641;-204;-176;1;84
